labels,ENG,DEU,NLD,SPA,TUR,POR,ITA
### pack0,18,244
prgwintit,Calculator,Rechner,Calculator,Calculadora,Hesap Makinesi,Calculadora,Calcolatrice
prgwinmentx1,Edit,Bearbeiten,Bewerken,Editar,Düzenle,Editar,Edita
prgwinmen1tx1,Copy,Kopieren,Kopiëren,Copiar,Kopyala,Copiar,Copia
prgwinmen1tx2,Paste,Einfügen,Plakken,Pegar,Yapıştır,Colar,Incolla
prgwinmentx2,View,Ansicht,Beeld,Ver,Görüntüle,Exibir,Vedi
prgwinmen2tx1,Standard,Standard,Standaard,Estándar,Standart,Padrão,Standard
prgwinmen2tx2,Scientific,Wissenschaftlich,Wetenschappelijk,Científica,Bilimsel,Científica,Scientifica
prgwinmen2tx3,Deg,Deg,Deg,Gra,Deg,Graus,Gra
prgwinmen2tx4,Rad,Rad,Rad,Rad,Rad,Rad,Rad
prgwinmen2tx5,Group digits,1000er gruppieren,Groeperen,Dígitos de grupo,Grup rakamları,Agrupar dígitos,Digitazione di gruppo
prgwinmen2tx6,US point format,englisches Format,US-puntnotatie,Formato de punto US,ABD nokta formatı,Formato com ponto,Decimale US
prgwinmentx3,?,?,?,?,?,?,?
prgwinmen3tx1,Help topics,Hilfethemen,Help,Ayuda,Yardım Konuları,Ajuda,Aiuto
prgwinmen3tx2,About Pocket Calculator,Info,Over Zakrekenmachine,Info,Hakkında,Info,Info su Calcolatrice
errtxtzer,Division by zero,Geteilt durch 0,Deling door nul,División por cero,Sıfıra bölme,Divisão por zero,Divisione per 0
errtxtovf,Overflow,Überlauf,Overloop,Desbordamiento,Taşma,Estouro,Troppi dati
errtxtimp,Improper number,Unzulässige Zahl,Ongeldig getal,Número inadecuado,Yanlış sayı,Número inválido,Numero improprio
errtxtstk,Stack full,Stapel voll,Stack vol,Pila llena,Yığın dolu,Pilha cheia,Pila piena
